Wavenumbercm-1,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M
1572,0.34328095930208014,0.35474189643667187,0.39848069199889974,0.4640907804951585,0.47272138445214823,0.5058761557288322,0.6048129895206134
1570,0.35757888844312047,0.3716006143872029,0.41943413531383394,0.4919952226459339,0.5052832857533021,0.5425624294547038,0.6411543832404805
1568,0.38366638105602074,0.3967923789280819,0.44407673994552166,0.5151325884269264,0.5260731510585618,0.562359218050316,0.6523033501178549
1566,0.3946040466348609,0.4012737111802197,0.44199621749287255,0.50329409442665,0.5081512792943091,0.5380619211502078,0.6144040809969173
1564,0.38217201889440844,0.38674981895860666,0.42678439972590887,0.48562282197252093,0.4968560338940894,0.5275993831374215,0.6023461512332539
1562,0.3589419535838492,0.38234845028016096,0.44484189082835823,0.5275154091561445,0.5737122862787526,0.6276870815537425,0.7329396739960417
1560,0.33293944169528533,0.40532881883469724,0.5215556046449732,0.6617487284715446,0.7723306206076981,0.8762698926848729,1.0524149971672943
1558,0.2880734078302772,0.40046293402291677,0.5580765221920169,0.741586171391975,0.8899251165070841,1.0276003272407683,1.25699078606647
1556,0.2210773744219999,0.31597071135231214,0.45246653782762836,0.6130233942019914,0.7273780425650497,0.8412495008402658,1.0405271763260149
1554,0.16317795433448984,0.22495126816659486,0.32414001716676194,0.44655670508961975,0.5145458694406168,0.5932755859240563,0.7394807818384141
1552,0.12704092716624352,0.17117653628433402,0.24950579698044148,0.3529132494446747,0.3934737723946934,0.45362667012627494,0.5658003691401796
1550,0.1104964260981795,0.151419493158975,0.22474069798531138,0.3264310145947945,0.3566343782010513,0.41286969574159926,0.5098667212555222
1548,0.10587741172108357,0.15299561590995198,0.23327155197257826,0.3448228470248171,0.3810874389245255,0.4445086530568606,0.5433284269521261
1546,0.10788436106168346,0.1722561595802928,0.2734196388011637,0.4076341695186919,0.47065867356491226,0.5544432488018675,0.6784318380300015
1544,0.12237371537708433,0.21984975388955838,0.35928340407890863,0.5325506176822128,0.6444547569670894,0.7644297805616718,0.94251000318888
1542,0.15478537180836377,0.2896850357298771,0.4696241592126306,0.6817862388369718,0.8427116387662074,0.998304727786783,1.2347976346394505
1540,0.1720684781067229,0.3080965370468173,0.486098067099586,0.6911323970716302,0.8474603471565983,0.9950858106012082,1.2245544822730168
1538,0.14662095147005394,0.2546566888857788,0.39971607913334256,0.5681341902500968,0.6829578520518123,0.7948754453023062,0.9698541570396805
1536,0.11071447085909052,0.20258125627214973,0.3290890069786375,0.4791796494996119,0.5689465389385527,0.662283988931101,0.8052224644506275
1534,0.0845860932027901,0.172259617113712,0.29400315793065024,0.44072813981871206,0.5201043880622385,0.6095899518360971,0.741970538955797
1532,0.06773882876713018,0.14849854875442486,0.2637156805956177,0.40365474610476365,0.47099806260035953,0.5546947014893421,0.6748333696348686
1530,0.05625676452912355,0.12679926080108148,0.2330615375490834,0.3623994157870088,0.41821121797499694,0.4925744298028299,0.5983405065532932
1528,0.052241345600899804,0.12319315012807223,0.2316452782572112,0.3632000914970282,0.4241695167302801,0.499605356528047,0.6090016049334989
1526,0.06246681355688313,0.15279631947956201,0.2822649409385365,0.4381174908872502,0.5288898363104134,0.6249394535759076,0.7659175658153012
1524,0.08825826038284822,0.20939853298556002,0.3710505753096227,0.5631180917160473,0.6982553083821659,0.8274403501378553,1.0137615405573144
1522,0.11185034880591109,0.2546318611226883,0.43983895037247245,0.6552498393391766,0.8236041645865169,0.9770959693582698,1.1929456913252485
1520,0.10979701062763554,0.25509663246023695,0.44516485871247596,0.661417064724701,0.8398188808808245,0.9983197530144112,1.2203871290716797
1518,0.07846691255756742,0.2106860205343216,0.38825159592903447,0.5893783468207182,0.7606248805400335,0.9094271734587057,1.1236154374186997
1516,0.031082221325411483,0.1388143060928008,0.2897268696062273,0.4649812059440896,0.6168307143775068,0.7455333302043615,0.9393314203368328
1514,-0.007107216489358834,0.08181015714270598,0.21164941567931664,0.36869414017647045,0.5070036410299684,0.6210925885549301,0.8000892717582453
1512,-0.015258256461024109,0.0822896682244914,0.22129528673278184,0.3915889547367273,0.5478087339147192,0.6747200596041937,0.8748782290084383
1510,0.017032764063019658,0.15712998047831495,0.342422073909337,0.5643329103397977,0.778093226104608,0.9530057367902907,1.2206226116660857
1508,0.07705684115218756,0.257739130296591,0.487837480489815,0.7583824789897207,1.020951781380298,1.2411529696259,1.5673653033549833
1506,0.09064544653556961,0.2358391676242278,0.43013811454129447,0.6623486863693178,0.8701179271165027,1.0525723992323448,1.321591856133855
1504,0.045620739091618234,0.12365684498793604,0.24853162234019674,0.4075142145878833,0.5234607171713328,0.634143762732815,0.8064459356225309
1502,0.004306658309949027,0.050353311436965614,0.14284403495936251,0.2686628746019394,0.3427314238350121,0.42033194689739084,0.552674900709296
1500,-0.015918584517558516,0.02704526598237856,0.11714718772443887,0.24074557903439067,0.3107561041851497,0.3862833926633291,0.5184586202335659
1498,-0.02445721508817057,0.01836900283897851,0.10863321682162605,0.23134862645798376,0.2986563413218264,0.37370296662315666,0.5023518108096285
1496,-0.030835126008682674,0.001505813968499355,0.08136616416671082,0.19321902974724964,0.24205554246426755,0.30401646031974383,0.40999458259657634
