Wavenumbercm-1,0.00e+00 M,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M,0.00e+00 M
2756,-0.00044311308834934,-0.0024038582177019,-0.0026334546742680497,-0.0028908738519999,-0.0031089716347408665,-0.0035139128017912,-0.0039792479108519,-0.004302226819203,-0.0007995120434782749
2754,-0.00043817518356912,-0.0023885198156103748,-0.00259379180349125,-0.002850559476173633,-0.0030726815531909,-0.0034774713605361996,-0.003981091454937367,-0.004261332463643066,-0.0007927370220718499
2752,-0.0004461775787197199,-0.0023226322331161746,-0.00252346967906955,-0.0027801167534794668,-0.003000762115507167,-0.0033947116168425336,-0.003924377743877634,-0.004183641034282967,-0.00075568308860825
2750,-0.00046520329801358004,-0.00226394076004685,-0.00246470495886285,-0.0027238881380536335,-0.0029207255840914335,-0.003306152989610034,-0.0038334042766694997,-0.004112388906170467,-0.0007062703391802501
2748,-0.0004827134620129601,-0.002271490081519825,-0.0024763913935671,-0.002730807753732,-0.0028929740984135668,-0.0032700922173931,-0.0037809404033822998,-0.004092695466960867,-0.0006804416789971748
2746,-0.0004909274253399,-0.0023253483055620497,-0.0025501129649378503,-0.0027822376167701665,-0.0029307734304054333,-0.0032815698983275003,-0.0037882398566106332,-0.004111991911319334,-0.0006793941985414
2744,-0.00049321655603254,-0.002361497436681775,-0.0026170082380254003,-0.002821239390469433,-0.0029843091947515665,-0.0032961644914748334,-0.003812457433400233,-0.0041250262520215,-0.0006731703481910999
2742,-0.00049300960257678,-0.0023634556017140002,-0.0026413567047195,-0.0028388582246206,-0.0030169637954620336,-0.003312756833552167,-0.0038286958444471333,-0.0041255391171106,-0.00066138749545385
2740,-0.00048695601783354007,-0.00236068888839555,-0.0026473675147769002,-0.0028685453715121003,-0.0030428581571236,-0.0033634166760512,-0.0038558628560789003,-0.0041443815112774665,-0.0006804795321472751
2738,-0.00047515301722996005,-0.002352670599844525,-0.0026431783267465998,-0.0029001776786188,-0.0030672478747164997,-0.003431565047787267,-0.0038915359719851003,-0.0041802520395819,-0.000733235974720975
2736,-0.00046769620405893997,-0.0023054679180262,-0.00259110706622055,-0.0028744234958209334,-0.0030504465797801666,-0.003452502630612267,-0.0038905626860255005,-0.004188100565779433,-0.0007642945810489997
2734,-0.00047193818305172003,-0.00222490599321365,-0.0024857961868077,-0.0027777891956845668,-0.0029722982351083668,-0.0034029031240998334,-0.003835968004251667,-0.004146713815434167,-0.0007351753318119247
2732,-0.00048055979714761997,-0.002169628288075525,-0.00239988691325455,-0.002680236160023733,-0.0028873820174042,-0.0033348372646365664,-0.0037794565823536332,-0.0040925589654977,-0.0006813002802760001
